TripName,RouteName,Origin,Destination,StartTime,EndTime
ICE 914,Amsterdam-Rotterdam,Amsterdam,Rotterdam,07:07,07:49
ICE 938,Amsterdam-Rotterdam,Amsterdam,Rotterdam,13:07,13:49
ICE 958,Amsterdam-Rotterdam,Amsterdam,Rotterdam,18:07,18:49
ICE 913,Rotterdam-Amsterdam,Rotterdam,Amsterdam,09:11,09:51
ICE 929,Rotterdam-Amsterdam,Rotterdam,Amsterdam,13:11,13:51
ICE 949,Rotterdam-Amsterdam,Rotterdam,Amsterdam,18:11,18:51
ICE 9223,Antwerpen-Rotterdam,Antwerpen,Rotterdam,09:45,10:50
ICE 9239,Antwerpen-Rotterdam,Antwerpen,Rotterdam,13:45,14:50
ICE 9259,Antwerpen-Rotterdam,Antwerpen,Rotterdam,18:45,19:50
ICE 9256,Rotterdam-Amsterdam,Rotterdam,Amsterdam,18:09,19:15
ICE 9236,Rotterdam-Amsterdam,Rotterdam,Amsterdam,13:09,14:15
ICE 9216,Rotterdam-Amsterdam,Rotterdam,Amsterdam,08:09,09:15
ICE 3129,Antwerpen-Brüssel,Antwerpen,Brüssel,08:09,09:05
ICE 3329,Antwerpen-Brüssel,Antwerpen,Brüssel,08:39,09:32
ICE 3133,Antwerpen-Brüssel,Antwerpen,Brüssel,12:09,13:02
ICE 3333,Antwerpen-Brüssel,Antwerpen,Brüssel,12:39,13:32
ICE 3138,Antwerpen-Brüssel,Antwerpen,Brüssel,17:09,18:02
ICE 3338,Antwerpen-Brüssel,Antwerpen,Brüssel,17:39,18:32
ICE 4516,Brüssel-Antwerpen,Brüssel,Antwerpen,17:19,18:06
ICE 3317,Brüssel-Antwerpen,Brüssel,Antwerpen,17:27,18:21
ICE 4506,Brüssel-Antwerpen,Brüssel,Antwerpen,07:20,08:06
ICE 3307,Brüssel-Antwerpen,Brüssel,Antwerpen,07:27,08:21
ICE 4511,Brüssel-Antwerpen,Brüssel,Antwerpen,12:20,13:06
ICE 3312,Brüssel-Antwerpen,Brüssel,Antwerpen,12:27,13:21
ICE 1536,Berlin-Frankfurt,Berlin,Frankfurt,16:38,20:52
ICE 375,Berlin-Frankfurt,Berlin,Frankfurt,14:30,18:44
ICE 693,Berlin-Frankfurt,Berlin,Frankfurt,19:44,23:54
ICE 373,Berlin-Frankfurt,Berlin,Frankfurt,12:30,16:44
ICE 691,Berlin-Frankfurt,Berlin,Frankfurt,13:34,17:44
